Review,Rating,Sentiment Score,Sentiment Label
It is a best choice for beginners and students especially online classes. It's a low budget gadgets far better than a mobile and little lesser than a window based laptop. All apps are available in app store. Battery back up is very good. Cammera to be improved. Made in India. Thanks.READ MORE,5,0.29295454545454547,Good
Awesome laptop with great specificationsNo lag no hang. display quality and built are quite good.I like prime OS easy to useREAD MORE,5,0.6833333333333333,Good
"I recently purchased a Prime Book laptop from Flipkart and I must say I'm impressed with both the product and the delivery service. The laptop is of great quality, and being proudly made in India, it is great to support our local manufacturers. The specifications are perfect for students, and my little one is thrilled to have it as his first laptop. We are very impressed with the built quality of prime book.Furthermore, the delivery service by Flipkart was quick and efficient. The product w...READ MORE",5,0.530448717948718,Good
Hello ! I hope this review can help you to make decision that u should buy it or not....so it's basically a low performance laptop only made for study and casual work. It's just an Android laptop with phone chipset...plz don't expect powerful performance....if u r budget is low and casual use for study like surfing net and watching video it is okeish...thank you👍READ MORE,4,-0.025000000000000022,Good
"Excellent build quality,  smooth performance, superb battery. Now have to see how long it will give me service like this. My first impression is 9.5/10READ MORE",5,0.5166666666666667,Good
"A very good budget product for students. Can easily substitute this with your smart phones and tablets if you are focusing more on a laptop like experience, big screen and better performance. Battery backup is also good on heavy work it lasts upto 4-5 hrs. Build quality is descent comparing with its price. Overall a very good product for students. Some glitches are there but can easily be fixed in further updates.READ MORE",5,0.3513553113553113,Good
The Quality and performance of the Device is good 😊. There are some minor bugs in the software which may be solved in future updates.The Quality of the materials of the Device is little lite but much good in this price range .And the customer support is also Good as well as very easily approachable and convenient. I realy loved this Android Laptop. Really value for money 🤑.READ MORE,5,0.3825833333333334,Good
First of all the laptop is bigger than I expectedDisplay is really good in this priceCamera could've been better but still it's not that badBattery is lasting over 7-8 hours with continuous usage (streaming online lectures)It takes approx 1.5 to 2 hour for full chargePerformance is really appriciable in this price ❤️Multi tasking is super easy🔥I just want to say thanks to the team who made this laptop I just love this.My final conclusion is you can go for it if you are a s...READ MORE,5,0.29444444444444445,Good
"Good Android laptophighly recommend to buy primebook.    Battery is good.    Display good ,.   Playing smooth Android game ❤️❤️❤️READ MORE",5,0.4333333333333333,Good
Wow nice laptop to purchase... User friendly and smooth laptop to operate...READ MORE,5,0.395,Good
"Superb product, value for money and it's very affordable and handy really loved itREAD MORE",5,0.6,Good
"Highly recommended for students or any IT Professionals looking for a budget laptop. Android Games are working smoothly along with Macros, Complex Excel Formulas. Battery backup is top notch.READ MORE",5,0.252,Good
I am very happy with this laptop there is no problem to carry it anywhere and it is very easy to operate it would have been better if it was given windows system but still android system is also very good in this laptopREAD MORE,4,0.6946666666666668,Good
I just love the product.Easy to carry and easy to run.Overall experience using this laptop is awesome and highly recommend over chrome books.READ MORE,5,0.5186666666666666,Good
